run_id,run_date,shift,line_id,product_sku,planned_units,actual_units,downtime_min,downtime_reason,reject_units,filler_pressure_psi,fill_temp_c,operator_id,qa_pass
50131,2026-06-17,B,LINE-3,ENERGY-8OZ,8699,8145,35,Capper Fault,189,37.1,4.3,OP-1022,true
50132,2026-06-17,C,LINE-1,SPRING-1L,9636,7392,91,Planned Maintenance,22,38.1,4.7,OP-1007,true
50133,2026-06-17,C,LINE-2,ENERGY-8OZ,11024,9273,58,Sensor Fault,23,37.4,4.4,OP-1017,true
50134,2026-06-17,C,LINE-3,TONIC-10OZ,8456,6960,67,Sensor Fault,29,37.9,4.0,OP-1027,true
50135,2026-06-18,A,LINE-1,SPRING-1L,10171,10074,0,None,0,37.8,4.4,OP-1000,true
50136,2026-06-18,A,LINE-2,TONIC-10OZ,10944,11074,1,None,20,38.2,4.0,OP-1012,true
50137,2026-06-18,A,LINE-3,COLA-12OZ,8780,8494,8,None,26,36.6,4.4,OP-1019,true
50138,2026-06-18,B,LINE-1,COLA-12OZ,9611,9155,0,None,18,39.0,4.3,OP-1003,true
50139,2026-06-18,B,LINE-2,SPRING-1L,10889,8170,119,Planned Maintenance,16,35.2,4.6,OP-1015,true
50140,2026-06-18,B,LINE-3,ENERGY-8OZ,8260,8415,0,None,54,37.8,4.0,OP-1023,true
50141,2026-06-18,C,LINE-1,COLA-12OZ,9525,8629,25,Capper Fault,210,37.1,3.6,OP-1008,true
50142,2026-06-18,C,LINE-2,ENERGY-8OZ,11071,10066,33,Changeover,17,39.8,4.6,OP-1016,true
50143,2026-06-18,C,LINE-3,ENERGY-8OZ,8340,8170,1,None,34,37.4,4.0,OP-1026,true
50144,2026-06-19,A,LINE-1,COLA-12OZ,9504,9561,4,None,78,36.7,4.0,OP-1003,true
50145,2026-06-19,A,LINE-2,ENERGY-8OZ,11539,11242,8,None,79,37.5,3.8,OP-1009,true
50146,2026-06-19,A,LINE-3,SPRING-1L,8236,7665,39,Capper Fault,185,39.6,4.4,OP-1018,true
50147,2026-06-19,B,LINE-1,TONIC-10OZ,10155,9401,23,Changeover,13,36.9,3.4,OP-1005,true
50148,2026-06-19,B,LINE-2,COLA-12OZ,11095,10991,4,None,0,38.8,4.1,OP-1013,true
50149,2026-06-19,B,LINE-3,SPRING-1L,8603,8682,2,None,16,37.9,4.2,OP-1023,true
50150,2026-06-19,C,LINE-1,TONIC-10OZ,9595,8973,23,Label Misfeed,82,38.0,4.1,OP-1007,true
50151,2026-06-19,C,LINE-2,TONIC-10OZ,11435,10905,8,None,60,38.6,4.3,OP-1016,true
50152,2026-06-19,C,LINE-3,LEMON-16OZ,8522,7832,25,Label Misfeed,2,38.7,4.0,OP-1026,true
50153,2026-06-20,A,LINE-1,SPRING-1L,9963,8378,72,Planned Maintenance,53,42.1,4.2,OP-1002,true
50154,2026-06-20,A,LINE-2,TONIC-10OZ,11354,10432,37,Capper Fault,259,39.4,3.7,OP-1009,true
50155,2026-06-20,A,LINE-3,COLA-12OZ,8895,8724,8,None,42,39.9,4.3,OP-1019,true
50156,2026-06-20,B,LINE-1,LEMON-16OZ,10078,8036,92,Planned Maintenance,56,37.9,4.1,OP-1004,true
50157,2026-06-20,B,LINE-2,ENERGY-8OZ,11370,10580,24,Changeover,51,38.0,4.1,OP-1013,true
50158,2026-06-20,B,LINE-3,COLA-12OZ,8757,8002,24,Changeover,32,37.7,3.8,OP-1022,true
50159,2026-06-20,C,LINE-2,COLA-12OZ,11053,10534,1,None,63,39.5,4.3,OP-1017,true
50160,2026-06-20,C,LINE-3,SPRING-1L,8492,6050,118,Planned Maintenance,34,38.6,3.8,OP-1026,true
50161,2026-06-21,A,LINE-1,ENERGY-8OZ,9462,9341,4,None,1,38.4,4.7,OP-1003,true
50162,2026-06-21,A,LINE-2,COLA-12OZ,10819,9441,63,Planned Maintenance,27,36.7,4.1,OP-1011,true
50163,2026-06-21,A,LINE-3,SPRING-1L,8796,8602,6,None,34,39.5,3.8,OP-1021,true
50164,2026-06-22,A,LINE-1,LEMON-16OZ,9634,9182,28,Changeover,86,38.2,3.9,OP-1003,true
50165,2026-06-22,A,LINE-2,SPRING-1L,11412,11425,0,None,62,38.8,3.7,OP-1012,true
50166,2026-06-22,A,LINE-3,LEMON-16OZ,8879,8974,4,None,0,36.4,4.3,OP-1021,true
50167,2026-06-22,B,LINE-1,SPRING-1L,9410,9306,0,None,7,38.3,4.5,OP-1005,true
50168,2026-06-22,B,LINE-2,COLA-12OZ,11115,10197,24,Capper Fault,249,37.1,4.5,OP-1012,true
50169,2026-06-22,B,LINE-3,LEMON-16OZ,8666,8303,5,None,60,37.7,4.1,OP-1022,true
50170,2026-06-22,C,LINE-1,LEMON-16OZ,10143,8403,75,Planned Maintenance,31,39.7,3.8,OP-1008,true
50171,2026-06-22,C,LINE-2,LEMON-16OZ,11225,10048,24,Label Misfeed,31,36.9,4.3,OP-1016,true
50172,2026-06-22,C,LINE-3,ENERGY-8OZ,8547,8083,8,None,38,37.0,4.7,OP-1026,true
50173,2026-06-23,A,LINE-1,TONIC-10OZ,10123,9711,25,Sensor Fault,62,36.7,3.8,OP-1000,true
50174,2026-06-23,A,LINE-2,SPRING-1L,10962,10272,33,Changeover,10,37.1,4.4,OP-1012,true
50175,2026-06-23,A,LINE-3,ENERGY-8OZ,8461,7603,45,Filler Jam,156,36.1,4.5,OP-1020,true
50176,2026-06-23,B,LINE-1,ENERGY-8OZ,9736,9485,1,None,17,36.5,4.3,OP-1005,true
50177,2026-06-23,B,LINE-2,TONIC-10OZ,10882,10380,7,None,67,36.6,4.4,OP-1015,true
50178,2026-06-23,B,LINE-3,ENERGY-8OZ,8940,7229,84,Planned Maintenance,18,36.8,3.6,OP-1023,true
50179,2026-06-23,C,LINE-1,COLA-12OZ,10109,9901,0,None,82,41.1,5.1,OP-1008,true
50180,2026-06-23,C,LINE-2,COLA-12OZ,10829,9991,29,Changeover,45,37.2,3.8,OP-1015,true
50181,2026-06-23,C,LINE-3,LEMON-16OZ,8228,7880,4,None,32,39.7,3.8,OP-1027,true
50182,2026-06-24,A,LINE-1,COLA-12OZ,9664,9402,10,Label Misfeed,12,38.5,3.5,OP-1003,true
50183,2026-06-24,A,LINE-2,COLA-12OZ,11352,11372,0,None,51,39.5,3.6,OP-1011,true
50184,2026-06-24,A,LINE-3,SPRING-1L,8786,8223,34,Capper Fault,189,36.2,4.4,OP-1019,true
50185,2026-06-24,B,LINE-1,LEMON-16OZ,9422,8882,17,Label Misfeed,41,38.0,4.1,OP-1004,true
50186,2026-06-24,B,LINE-2,LEMON-16OZ,11117,10824,1,None,6,39.1,3.7,OP-1015,true
50187,2026-06-24,B,LINE-3,COLA-12OZ,8838,8746,2,None,34,38.8,3.6,OP-1023,true
50188,2026-06-24,C,LINE-1,COLA-12OZ,10147,8175,78,Filler Jam,203,37.9,4.2,OP-1009,true
50189,2026-06-24,C,LINE-2,TONIC-10OZ,11582,10677,24,Changeover,78,36.9,3.8,OP-1018,true
50190,2026-06-24,C,LINE-3,ENERGY-8OZ,8206,7642,34,Changeover,14,38.3,4.2,OP-1025,true
50191,2026-06-25,A,LINE-1,LEMON-16OZ,9411,9358,6,None,20,39.0,4.5,OP-1001,true
50192,2026-06-25,A,LINE-2,COLA-12OZ,10912,10476,14,Label Misfeed,60,38.7,4.6,OP-1009,true
50193,2026-06-25,A,LINE-3,LEMON-16OZ,8627,8129,31,Changeover,14,38.5,3.9,OP-1020,true
50194,2026-06-25,B,LINE-1,TONIC-10OZ,9806,8764,42,Changeover,23,39.9,4.0,OP-1003,true
50195,2026-06-25,B,LINE-2,TONIC-10OZ,10851,10595,7,None,23,37.7,4.1,OP-1012,true
50196,2026-06-25,B,LINE-3,COLA-12OZ,8879,8625,5,None,41,39.7,4.0,OP-1022,true
50197,2026-06-25,C,LINE-1,SPRING-1L,9667,9370,4,None,76,36.6,4.9,OP-1008,true
50198,2026-06-25,C,LINE-3,LEMON-16OZ,8516,7841,1,None,17,39.0,5.2,OP-1024,true
50199,2026-06-26,A,LINE-1,TONIC-10OZ,10169,10320,0,None,120,36.5,4.1,OP-1003,true
50200,2026-06-26,A,LINE-2,LEMON-16OZ,11360,8932,92,Filler Jam,287,39.6,4.2,OP-1010,false
50201,2026-06-26,A,LINE-3,ENERGY-8OZ,8367,8501,7,None,21,39.3,4.3,OP-1019,true
50202,2026-06-26,B,LINE-1,LEMON-16OZ,10112,9892,6,None,60,36.4,3.8,OP-1004,true
50203,2026-06-26,B,LINE-2,TONIC-10OZ,11435,11146,12,Label Misfeed,11,38.3,4.1,OP-1014,true
50204,2026-06-26,B,LINE-3,SPRING-1L,8644,8038,32,Changeover,79,39.1,4.7,OP-1021,true
50205,2026-06-26,C,LINE-1,COLA-12OZ,9894,9364,5,None,19,38.5,4.0,OP-1008,true
50206,2026-06-26,C,LINE-2,COLA-12OZ,10903,9879,26,Capper Fault,259,39.5,3.5,OP-1018,true
50207,2026-06-26,C,LINE-3,ENERGY-8OZ,8235,7907,5,None,0,37.3,3.7,OP-1024,true
50208,2026-06-27,A,LINE-1,TONIC-10OZ,10004,9479,27,Changeover,71,36.7,4.5,OP-1001,true
50209,2026-06-27,A,LINE-2,LEMON-16OZ,11492,11236,8,None,39,36.7,3.8,OP-1010,true
50210,2026-06-27,A,LINE-3,TONIC-10OZ,8773,7992,42,Changeover,23,37.7,4.7,OP-1021,true
50211,2026-06-27,B,LINE-1,LEMON-16OZ,9839,9592,4,None,0,38.1,4.4,OP-1004,true
50212,2026-06-27,B,LINE-2,COLA-12OZ,11222,10805,8,None,15,40.6,4.2,OP-1013,true
50213,2026-06-27,B,LINE-3,TONIC-10OZ,8368,7573,40,Sensor Fault,16,35.9,4.1,OP-1024,true
50214,2026-06-27,C,LINE-1,ENERGY-8OZ,10022,9577,8,None,22,37.0,4.4,OP-1008,true
50215,2026-06-27,C,LINE-2,SPRING-1L,11471,10897,7,None,21,37.1,4.1,OP-1018,true
50216,2026-06-27,C,LINE-3,SPRING-1L,8365,7542,33,Changeover,11,37.9,3.7,OP-1024,true
50217,2026-06-28,A,LINE-1,TONIC-10OZ,9402,8596,46,Sensor Fault,12,36.2,4.2,OP-1002,true
50218,2026-06-28,A,LINE-2,LEMON-16OZ,10851,10556,6,None,20,37.2,4.3,OP-1010,true
50219,2026-06-28,A,LINE-3,LEMON-16OZ,8399,8138,7,None,28,36.7,3.9,OP-1018,true
50220,2026-06-29,A,LINE-1,TONIC-10OZ,9774,9260,25,Sensor Fault,41,39.3,4.3,OP-1003,true
50221,2026-06-29,A,LINE-2,ENERGY-8OZ,11030,10290,32,Sensor Fault,0,36.9,4.4,OP-1011,true
50222,2026-06-29,A,LINE-3,TONIC-10OZ,8262,8347,5,None,87,39.3,3.9,OP-1020,true
50223,2026-06-29,B,LINE-1,SPRING-1L,9947,9697,1,None,66,37.6,4.3,OP-1005,true
50224,2026-06-29,B,LINE-2,TONIC-10OZ,11150,11040,3,None,4,40.2,4.4,OP-1012,true
50225,2026-06-29,B,LINE-3,TONIC-10OZ,8834,8684,1,None,33,37.2,3.5,OP-1022,true
50226,2026-06-29,C,LINE-1,ENERGY-8OZ,9479,6746,118,Planned Maintenance,52,37.5,4.6,OP-1007,true
50227,2026-06-29,C,LINE-3,COLA-12OZ,8250,8183,5,None,52,36.4,4.4,OP-1026,true
50228,2026-06-30,A,LINE-1,ENERGY-8OZ,9517,9171,7,None,12,38.6,4.3,OP-1003,true
50229,2026-06-30,A,LINE-2,ENERGY-8OZ,10949,10556,16,Capper Fault,189,36.7,3.8,OP-1011,true
50230,2026-06-30,A,LINE-3,ENERGY-8OZ,8917,8926,6,None,73,41.9,4.0,OP-1018,true
50231,2026-06-30,B,LINE-1,ENERGY-8OZ,9826,7841,87,Planned Maintenance,88,38.5,4.2,OP-1003,true
50232,2026-06-30,B,LINE-2,LEMON-16OZ,11285,11136,1,None,0,39.9,3.9,OP-1014,true
50233,2026-06-30,B,LINE-3,ENERGY-8OZ,8495,6320,116,Planned Maintenance,34,36.7,4.2,OP-1023,true
50234,2026-06-30,C,LINE-1,SPRING-1L,9691,8758,20,Label Misfeed,21,37.2,4.0,OP-1008,true
50235,2026-06-30,C,LINE-2,COLA-12OZ,10973,10268,8,None,56,39.4,4.4,OP-1016,true
50236,2026-06-30,C,LINE-3,COLA-12OZ,8996,8640,7,None,36,38.2,4.8,OP-1024,true
50237,2026-07-01,A,LINE-1,SPRING-1L,10009,9854,7,None,89,35.6,4.2,OP-1001,true
50238,2026-07-01,A,LINE-2,TONIC-10OZ,11085,10414,31,Changeover,48,38.7,4.4,OP-1011,true
